Sector,Property,State,Calculated,Experimental,Uncertainty,Absolute_Error,Percentage_Error,Pull_sigma,Chi2_contrib,MSE
BC,Mass (GeV),(3^1S) B_c,7.259263484992943,,6.7351733241813,,,,,
BC,Mass (GeV),(1^3S) B_c^*,6.34166272522402,,14.438421418093801,,,,,
BC,Mass (GeV),(2^3S) B_c^*,6.900753252200634,,7.8190057837564995,,,,,
BC,Mass (GeV),(3^3S) B_c^*,7.280961068955849,,5.9396447668438,,,,,
BC,Mass (GeV),(1^1P) B_{c1},6.76317297682755,,7.0923986783809,,,,,
BC,Mass (GeV),(2^1P) B_{c1},7.159543619320512,,5.3219535112703005,,,,,
BC,Mass (GeV),(3^1P) B_{c1},7.4866146406001635,,4.435298703549,,,,,
BC,Mass (GeV),"(1^3P_0) B_{c0,1,2}^*",6.7008388072625,,10.6450784991608,,,,,
BC,Mass (GeV),"(2^3P_0) B_{c0,1,2}^*",7.102531031939337,,8.187831618264001,,,,,
BC,Mass (GeV),"(3^3P_0) B_{c0,1,2}^*",7.431813016458719,,7.0061833192527,,,,,
BC,Mass (GeV),"(1^3P_1) B_{c0,1,2}^*",6.759771242685073,,7.5996991004795005,,,,,
BC,Mass (GeV),"(2^3P_1) B_{c0,1,2}^*",7.155442165081011,,5.7424614404736,,,,,
BC,Mass (GeV),"(3^3P_1) B_{c0,1,2}^*",7.482094059918055,,4.8167020251656,,,,,
BC,Mass (GeV),"(1^3P_2) B_{c0,1,2}^*",6.777680851226047,,6.0774824609332,,,,,
BC,Mass (GeV),"(2^3P_2) B_{c0,1,2}^*",7.173407009340447,,4.4964731323713,,,,,
BC,Mass (GeV),"(3^3P_2) B_{c0,1,2}^*",7.500287313837717,,3.6922797874383,,,,,
BC,Mass (GeV),(1^1D) B_{c2},7.02658958796416,,4.985084217426101,,,,,
BC,Mass (GeV),(2^1D) B_{c2},7.365888283539691,,4.1350170439661005,,,,,
BC,Mass (GeV),(3^1D) B_{c2},7.663437393288954,,3.6080980038376,,,,,
